variable;libelle;codage
f_t1_D;T1 — abduction du 5e doigt (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_epaule_D;Élévation de l'épaule (hors ASIA) (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_main_D;Serrage de main (hors ASIA) (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_c5_G;C5 — flexion du coude (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_c6_G;C6 — extension du poignet (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_c7_G;C7 — extension du coude (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_c8_G;C8 — flexion des doigts (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_t1_G;T1 — abduction du 5e doigt (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_epaule_G;Élévation de l'épaule (hors ASIA) (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_main_G;Serrage de main (hors ASIA) (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_l2_D;L2 — flexion de hanche (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_l3_D;L3 — extension du genou (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
