variable;libelle;codage
subj_post_main_D;Signes subjectifs - Main (dorsale) D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_main_G;Signes subjectifs - Main (dorsale) G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_cuisse_D;Signes subjectifs - Cuisse post. D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_cuisse_G;Signes subjectifs - Cuisse post. G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_jambe_D;Signes subjectifs - Mollet D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_jambe_G;Signes subjectifs - Mollet G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_pied_D;Signes subjectifs - Plante D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_pied_G;Signes subjectifs - Plante G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
cut_nb;Lesions cutanees - nombre total de zones;entier 0-48
cut_nb_D;Lesions cutanees - zones a DROITE;entier
cut_nb_G;Lesions cutanees - zones a GAUCHE;entier
cut_marbrures_nb;Lesions cutanees - zones : Marbrures (cutis marmorata);entier
cut_erytheme_nb;Lesions cutanees - zones : Érythème;entier
cut_oedeme_nb;Lesions cutanees - zones : Œdème;entier
cut_prurit_nb;Lesions cutanees - zones : Prurit;entier
cut_papules_nb;Lesions cutanees - zones : Papules, plaques;entier
cut_emphyseme_nb;Lesions cutanees - zones : Emphysème sous-cutané;entier
cut_tetecou_D;Lesions cutanees - atteinte Tête / cou D;"1 = oui ; 0 = non"
cut_tetecou_G;Lesions cutanees - atteinte Tête / cou G;"1 = oui ; 0 = non"
cut_MS_D;Lesions cutanees - atteinte Membre supérieur D;"1 = oui ; 0 = non"
cut_MS_G;Lesions cutanees - atteinte Membre supérieur G;"1 = oui ; 0 = non"
cut_tronc_D;Lesions cutanees - atteinte Tronc D;"1 = oui ; 0 = non"
cut_tronc_G;Lesions cutanees - atteinte Tronc G;"1 = oui ; 0 = non"
cut_MI_D;Lesions cutanees - atteinte Membre inférieur D;"1 = oui ; 0 = non"
cut_MI_G;Lesions cutanees - atteinte Membre inférieur G;"1 = oui ; 0 = non"
cut_zones;Lesions cutanees - liste detaillee;texte, separees par |
cut_ant_tete_D;Lesions cutanees - Face D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_tete_G;Lesions cutanees - Face G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_cou_D;Lesions cutanees - Cou ant. D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_cou_G;Lesions cutanees - Cou ant. G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_epaule_D;Lesions cutanees - Épaule / deltoïde D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_epaule_G;Lesions cutanees - Épaule / deltoïde G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_troncsup_D;Lesions cutanees - Thorax ant. D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_troncsup_G;Lesions cutanees - Thorax ant. G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_troncinf_D;Lesions cutanees - Abdomen D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_troncinf_G;Lesions cutanees - Abdomen G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_bassin_D;Lesions cutanees - Aine / pli inguinal D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_bassin_G;Lesions cutanees - Aine / pli inguinal G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_bras_D;Lesions cutanees - Bras ant. D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_bras_G;Lesions cutanees - Bras ant. G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_avantbras_D;Lesions cutanees - Avant-bras ant. D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_avantbras_G;Lesions cutanees - Avant-bras ant. G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_main_D;Lesions cutanees - Main (palmaire) D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_main_G;Lesions cutanees - Main (palmaire) G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_cuisse_D;Lesions cutanees - Cuisse ant. D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_cuisse_G;Lesions cutanees - Cuisse ant. G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_jambe_D;Lesions cutanees - Jambe ant. D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_jambe_G;Lesions cutanees - Jambe ant. G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_pied_D;Lesions cutanees - Pied (dos) D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_ant_pied_G;Lesions cutanees - Pied (dos) G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_tete_D;Lesions cutanees - Occiput D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_tete_G;Lesions cutanees - Occiput G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_cou_D;Lesions cutanees - Nuque D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_cou_G;Lesions cutanees - Nuque G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_epaule_D;Lesions cutanees - Épaule post. / trapèze D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_epaule_G;Lesions cutanees - Épaule post. / trapèze G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_troncsup_D;Lesions cutanees - Dos (région scapulaire) D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_troncsup_G;Lesions cutanees - Dos (région scapulaire) G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_troncinf_D;Lesions cutanees - Lombes D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_troncinf_G;Lesions cutanees - Lombes G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_bassin_D;Lesions cutanees - Fesse D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_bassin_G;Lesions cutanees - Fesse G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_bras_D;Lesions cutanees - Bras post. D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_bras_G;Lesions cutanees - Bras post. G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_avantbras_D;Lesions cutanees - Avant-bras post. D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_avantbras_G;Lesions cutanees - Avant-bras post. G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_main_D;Lesions cutanees - Main (dorsale) D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_main_G;Lesions cutanees - Main (dorsale) G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_cuisse_D;Lesions cutanees - Cuisse post. D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_cuisse_G;Lesions cutanees - Cuisse post. G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_jambe_D;Lesions cutanees - Mollet D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_jambe_G;Lesions cutanees - Mollet G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_pied_D;Lesions cutanees - Plante D;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cut_post_pied_G;Lesions cutanees - Plante G;"1 = Marbrures (cutis marmorata) ; 2 = Érythème ; 3 = Œdème ; 4 = Prurit ; 5 = Papules, plaques ; 6 = Emphysème sous-cutané ; 0 = aucune ; vide = non renseigne"
cst_nb;Constantes - nombre de releves;"entier ; vide = aucun releve"
cst_h_debut;Constantes - heure du premier releve;HH:MM
cst_h_fin;Constantes - heure du dernier releve;HH:MM
cst_duree;Constantes - duree de surveillance;entier, minutes (calcule du premier au dernier releve)
cst_pouls_1;Constantes - Pouls : premiere valeur;numerique (/min)
cst_pouls_n;Constantes - Pouls : derniere valeur;numerique (/min)
cst_pouls_min;Constantes - Pouls : minimum;numerique (/min)
cst_pouls_max;Constantes - Pouls : maximum;numerique (/min)
cst_tas_1;Constantes - PAS : premiere valeur;numerique (mmHg)
cst_tas_n;Constantes - PAS : derniere valeur;numerique (mmHg)
cst_tas_min;Constantes - PAS : minimum;numerique (mmHg)
cst_tas_max;Constantes - PAS : maximum;numerique (mmHg)
cst_tad_1;Constantes - PAD : premiere valeur;numerique (mmHg)
cst_tad_n;Constantes - PAD : derniere valeur;numerique (mmHg)
cst_tad_min;Constantes - PAD : minimum;numerique (mmHg)
cst_tad_max;Constantes - PAD : maximum;numerique (mmHg)
cst_temp_1;Constantes - T° : premiere valeur;numerique (°C)
cst_temp_n;Constantes - T° : derniere valeur;numerique (°C)
cst_temp_min;Constantes - T° : minimum;numerique (°C)
cst_temp_max;Constantes - T° : maximum;numerique (°C)
cst_spo2_1;Constantes - SpO₂ : premiere valeur;numerique (%)
cst_spo2_n;Constantes - SpO₂ : derniere valeur;numerique (%)
cst_spo2_min;Constantes - SpO₂ : minimum;numerique (%)
cst_spo2_max;Constantes - SpO₂ : maximum;numerique (%)
cst_gcs_1;Constantes - Glasgow : premiere valeur;numerique (/15)
cst_gcs_n;Constantes - Glasgow : derniere valeur;numerique (/15)
cst_gcs_min;Constantes - Glasgow : minimum;numerique (/15)
cst_gcs_max;Constantes - Glasgow : maximum;numerique (/15)
cst_eva_1;Constantes - EVA : premiere valeur;numerique (/10)
cst_eva_n;Constantes - EVA : derniere valeur;numerique (/10)
cst_eva_min;Constantes - EVA : minimum;numerique (/10)
cst_eva_max;Constantes - EVA : maximum;numerique (/10)
cst_mict_nb;Constantes - nombre de mictions notees oui;entier
msh_moment;MEDSUBHYP - moment de la cotation;"t0 = a l'arrivee ; t12 = a 12 heures ; t24 = a 24 heures ; nr = au-dela de 24 heures, score non renseigne ; vide = ni choisi ni deductible. Valeur retenue pour le calcul, choisie ou deduite du delai accident vers examen"
msh_moment_auto;MEDSUBHYP - moment deduit ou choisi;"1 = deduit du delai accident vers examen ; 0 = choisi par l'examinateur ; vide = aucun moment retenu"
msh_age;MEDSUBHYP - Age ≥ 42 ans;"0 = Non (0 point) ; 1 = Oui (1 point) ; vide = non cote. Valeur deduite de la fiche sauf cotation manuelle"
msh_rachis;MEDSUBHYP - Douleur vertebrale;"0 = Non (0 point) ; 1 = Oui (1 point) ; vide = non cote. Valeur deduite de la fiche sauf cotation manuelle"
msh_evol;MEDSUBHYP - Evolution avant recompression;"0 = Ameliore (0 point) ; 1 = Stable (3 points) ; 2 = Aggrave (5 points) ; vide = non cote. Valeur deduite de la fiche sauf cotation manuelle"
msh_sens;MEDSUBHYP - Signes sensitifs objectifs;"0 = Non (0 point) ; 1 = Oui (4 points) ; vide = non cote. Valeur deduite de la fiche sauf cotation manuelle"
msh_mot;MEDSUBHYP - Signes moteurs;"0 = Non (0 point) ; 1 = Paresies (4 points) ; 2 = Paraplegie (5 points) ; vide = non cote. Valeur deduite de la fiche sauf cotation manuelle"
msh_sphi;MEDSUBHYP - Atteinte du sphincter urinaire;"0 = Non (0 point) ; 1 = Oui (6 points) ; vide = non cote. Valeur deduite de la fiche sauf cotation manuelle"
msh_total;MEDSUBHYP - score total;"entier 0-22 ; vide = un item au moins sans valeur, ou cotation au-dela de 24 heures"
msh_grave;MEDSUBHYP - au-dessus du seuil;"1 = score >= 6 ; 0 = score < 6 ; vide = score non calcule"
msh_manuels;MEDSUBHYP - items cotes a la main;"entier 0-6 ; un item cote a la main diverge de la valeur deduite de la fiche"
vest_grille;Score vestibulaire - nom de la grille;"texte ; la grille est definie poste par poste et ne provient d aucun referentiel publie"
vest_total;Score vestibulaire - score total;"entier ; vide = grille absente ou item sans valeur"
vest_max;Score vestibulaire - score maximal de la grille;entier
created;Horodatage de creation;ISO 8601
updated;Horodatage de derniere modification;ISO 8601
